id,name,birth_year,death_year,id,name,birth_year,death_year
fk__p_52701,"Salkind, Alexander",1887,1940,person__23901,"Salkind, Alexander",1887,1940
fk__p_52643,"Ruskin, John",1819,1900,person__39087,"Ruskin, John",1819,1900
fk__p_52637,"Rumpler, Franz",1848,1922,person__9606,"Rumpler, Franz",1848,1922
fk__p_52631,"Kipling, Rudyard",1865,1936,person__8204,"Kipling, Rudyard",1865,1936
fk__p_52618,"Tyrolt, Rudolf",1848,1929,person__12980,"Tyrolt, Rudolf",1848,1929
fk__p_52612,"Sieghart, Rudolf",1866,1934,person__12775,"Sieghart, Rudolf",1866,1934
fk__p_38970,"Beardsley, Aubrey Vincent",1872,1898,person__13870,"Beardsley, Aubrey Vincent",1872,1898
fk__p_52608,"Schildkraut, Rudolf",1862,1930,person__12651,"Schildkraut, Rudolf",1862,1930
fk__p_52606,"Rittner, Rudolf",1869,1943,person__12530,"Rittner, Rudolf",1869,1943
fk__p_52603,"Presber, Rudolf",1868,1935,person__9364,"Presber, Rudolf",1868,1935
fk__p_52599,"Österreicher, Rudolf",1881,1966,person__27649,"Österreicher, Rudolf",1881,1966
fk__p_52581,"Kolisch, Rudolf",1896,1978,person__8280,"Kolisch, Rudolf",1896,1978
fk__p_52578,"Kreutz, Rudolf Jeremias",1876,1949,person__5521,"Kreutz, Rudolf Jeremias",1876,1949
fk__p_52576,"Holzer, Rudolf",1875,1965,person__11771,"Holzer, Rudolf",1875,1965
fk__p_52572,"Herzog, Rudolf",1869,1943,person__7827,"Herzog, Rudolf",1869,1943
fk__p_52570,"Bartsch, Rudolf Hans",1873,1952,person__10836,"Bartsch, Rudolf Hans",1873,1952
fk__p_52565,"Gottschall, Rudolf von",1823,1909,person__7496,"Gottschall, Rudolf von",1823,1909
fk__p_52549,"Alt, Rudolf von",1812,1905,person__10759,"Alt, Rudolf von",1812,1905
fk__p_52528,"Rubens, Peter Paul",1577,1640,person__53318,"Rubens, Peter Paul",1577,1640
fk__p_52522,"Rowohlt, Ernst",1887,1960,person__9600,"Rowohlt, Ernst",1887,1960
fk__p_52504,"Rostand, Edmond",1868,1918,person__12567,"Rostand, Edmond",1868,1918
fk__p_52497,"Rossi, Ernesto",1827,1896,person__23623,"Rossi, Ernesto",1827,1896
fk__p_38956,"Baumgartner, Alexander",1841,1910,person__6176,"Baumgartner, Alexander",1841,1910
fk__p_52478,"Rosenbaum, Richard",1867,1942,person__12556,"Rosenbaum, Richard",1867,1942
fk__p_52473,"Rosegger, Peter",1843,1918,person__12551,"Rosegger, Peter",1843,1918
fk__p_52456,"Luxemburg, Rosa",1871,1919,person__8736,"Luxemburg, Rosa",1871,1919
fk__p_52446,"Albach-Retty, Rosa",1874,1980,person__10752,"Albach-Retty, Rosa",1874,1980
fk__p_52439,"Römpler, Alexander",1860,1909,person__12595,"Römpler, Alexander",1860,1909
fk__p_52436,"Romanowsky, Arthur von",1874,1912,person__23514,"Romanowsky, Arthur von",1874,1912
fk__p_52430,"Rolland, Romain",1866,1944,person__12543,"Rolland, Romain",1866,1944
fk__p_52426,"Roller, Alfred",1864,1935,person__12548,"Roller, Alfred",1864,1935
fk__p_52391,"Rodin, Auguste",1840,1917,person__9554,"Rodin, Auguste",1840,1917
fk__p_52385,"Roda Roda, Alexander",1872,1945,person__9546,"Roda Roda, Alexander",1872,1945
fk__p_52375,"Bracco, Roberto",1861,1943,person__2935,"Bracco, Roberto",1861,1943
fk__p_52371,"Stolz, Robert",1880,1975,person__10055,"Stolz, Robert",1880,1975
fk__p_52370,"Schumann, Robert",1810,1856,person__12733,"Schumann, Robert",1810,1856
fk__p_52367,"Scheu, Robert",1873,1964,person__4209,"Scheu, Robert",1873,1964
fk__p_52363,"Nhil, Robert",1858,1938,person__12355,"Nhil, Robert",1858,1938
fk__p_52362,"Neumann, Robert",1897,1975,person__12345,"Neumann, Robert",1897,1975
fk__p_52360,"Michel, Robert",1876,1957,person__12254,"Michel, Robert",1876,1957
fk__p_52349,"Koch, Robert",1843,1910,person__8266,"Koch, Robert",1843,1910
fk__p_52345,"Hirschfeld, Robert",1857,1914,person__11707,"Hirschfeld, Robert",1857,1914
fk__p_52344,"Hamerling, Robert",1830,1889,person__7674,"Hamerling, Robert",1830,1889
fk__p_52340,"Gersuny, Robert",1844,1924,person__59434,"Gersuny, Robert",1844,1924
fk__p_38933,"Battisti, Cesare",1875,1916,person__13802,"Battisti, Cesare",1875,1916
fk__p_52333,"Eissler, Robert Josef",1870,1923,person__15828,"Eissler, Robert Josef",1870,1923
fk__p_52330,"Danneberg, Robert",1885,1942,person__39466,"Danneberg, Robert",1885,1942
fk__p_52327,"Bodanzky, Robert",1879,1923,person__14346,"Bodanzky, Robert",1879,1923
fk__p_52326,"Blum, Robert",1881,1952,person__10966,"Blum, Robert",1881,1952
fk__p_52319,"Adam, Robert",1877,1961,person__12438,"Adam, Robert",1877,1961
fk__p_52267,"Ritter, William",1867,1955,person__61258,"Ritter, William",1867,1955
fk__p_52244,"Rickelt, Gustav",1862,1946,person__4704,"Rickelt, Gustav",1862,1946
fk__p_52221,Richter,1000,1000,person__23352,Richter,1000,1000
fk__p_52217,"Richepin, Jean",1849,1926,person__4954,"Richepin, Jean",1849,1926
fk__p_52209,"Vallentin, Richard",1874,1908,person__2235,"Vallentin, Richard",1874,1908
fk__p_52208,"Schaukal, Richard von",1874,1942,person__9674,"Schaukal, Richard von",1874,1942
fk__p_52205,"Tauber, Richard",1891,1948,person__10178,"Tauber, Richard",1891,1948
fk__p_52203,"Strauss, Richard",1864,1949,person__12870,"Strauss, Richard",1864,1949
fk__p_52202,"Specht, Richard",1870,1932,person__2456,"Specht, Richard",1870,1932
fk__p_52195,"Oswald, Richard",1880,1963,person__9181,"Oswald, Richard",1880,1963
fk__p_52194,"Muther, Richard",1860,1909,person__12319,"Muther, Richard",1860,1909
fk__p_52190,"Werner, Richard Maria",1854,1913,person__43826,"Werner, Richard Maria",1854,1913
fk__p_52185,"Lányi, Richard",1884,1942,person__20707,"Lányi, Richard",1884,1942
fk__p_52184,"Kraus, Richard",1861,1909,person__38941,"Kraus, Richard",1861,1909
fk__p_52182,"Kola, Richard",1872,1939,person__11962,"Kola, Richard",1872,1939
fk__p_52178,"Heuberger, Richard",1850,1914,person__11684,"Heuberger, Richard",1850,1914
fk__p_52175,"Genée, Richard",1823,1895,person__11420,"Genée, Richard",1823,1895
fk__p_52173,"Dehmel, Richard",1863,1920,person__11148,"Dehmel, Richard",1863,1920
fk__p_52172,"Beer-Hofmann, Richard",1866,1945,person__10863,"Beer-Hofmann, Richard",1866,1945
fk__p_38916,"Basch, Ludwig",1851,1940,person__13791,"Basch, Ludwig",1851,1940
fk__p_52168,"Huch, Ricarda",1864,1947,person__11780,"Huch, Ricarda",1864,1947
fk__p_52144,"Reusch, Hubert",1862,1925,person__23307,"Reusch, Hubert",1862,1925
fk__p_52142,"Reucker, Alfred",1868,1958,person__23303,"Reucker, Alfred",1868,1958
fk__p_52121,"Schickele, René",1883,1940,person__12640,"Schickele, René",1883,1940
fk__p_52119,"Mordo, Renato",1894,1955,person__21602,"Mordo, Renato",1894,1955
fk__p_52116,"Geyling, Remigius",1878,1974,person__7402,"Geyling, Remigius",1878,1974
fk__p_52108,"Reitler, Josef",1883,1948,person__23249,"Reitler, Josef",1883,1948
fk__p_52107,"Reiterer, Ernst",1851,1923,person__9477,"Reiterer, Ernst",1851,1923
fk__p_52094,"Lenz, Jakob Michael Reinhold",1751,1792,person__20301,"Lenz, Jakob Michael Reinhold",1751,1792
fk__p_52081,"Reimers, Emmerich",1886,1970,person__9460,"Reimers, Emmerich",1886,1970
fk__p_52080,"Reimers, Georg",1860,1936,person__12498,"Reimers, Georg",1860,1936
fk__p_52078,"Reicke, Georg",1863,1923,person__5730,"Reicke, Georg",1863,1923
fk__p_52058,"Riehl, Regine",1860,1922,person__23400,"Riehl, Regine",1860,1922
fk__p_52050,"Redlich, Fritz",1868,1921,person__23130,"Redlich, Fritz",1868,1921
fk__p_52040,"Ravaillac, François",1578,1610,person__23096,"Ravaillac, François",1578,1610
fk__p_38906,"Barsescu, Agathe",1861,1939,person__13769,"Barsescu, Agathe",1861,1939
fk__p_52017,"Auernheimer, Raoul",1876,1948,person__10788,"Auernheimer, Raoul",1876,1948
fk__p_52016,"Aslan, Raoul",1886,1958,person__10780,"Aslan, Raoul",1886,1958
fk__p_52011,"Ranke, Leopold von",1795,1886,person__9424,"Ranke, Leopold von",1795,1886
fk__p_52007,"Rampolla del Tindaro, Mariano",1843,1913,person__4437,"Rampolla del Tindaro, Mariano",1843,1913
fk__p_52001,"Benatzky, Ralph",1884,1957,person__6216,"Benatzky, Ralph",1884,1957
fk__p_51992,"Simons, Rainer",1869,1934,person__12787,"Simons, Rainer",1869,1934
fk__p_51991,"Rilke, Rainer Maria",1875,1926,person__9531,"Rilke, Rainer Maria",1875,1926
fk__p_51965,"Tagore, Rabindranath",1861,1941,person__25836,"Tagore, Rabindranath",1861,1941
fk__p_51963,"Rabensteiner, Eduard",1839,1905,person__22976,"Rabensteiner, Eduard",1839,1905
fk__p_51946,"Smekal, Richard",1888,1954,person__4012,"Smekal, Richard",1888,1954
fk__p_51911,R.,1000,1000,person__22959,R.,1000,1000
fk__p_51909,"Quidde, Ludwig",1858,1941,person__65533,"Quidde, Ludwig",1858,1941
fk__p_51902,Pythagoras,1000,1000,person__28692,Pythagoras,1000,1000
fk__p_51875,"Puccini, Giacomo",1858,1924,person__12457,"Puccini, Giacomo",1858,1924
fk__p_51865,"Przywara, Erich",1889,1972,person__3926,"Przywara, Erich",1889,1972
fk__p_51853,"Prüger, Viktor",1880,1932,person__22915,"Prüger, Viktor",1880,1932
fk__p_51846,"Mérimée, Prosper",1803,1870,person__8997,"Mérimée, Prosper",1803,1870
fk__p_51833,"Wahrmund, Ludwig",1860,1932,person__3040,"Wahrmund, Ludwig",1860,1932
fk__p_51670,"Preminger, Otto",1905,1986,person__9360,"Preminger, Otto",1905,1986
fk__p_51666,"Prechtler, Heinrich",1857,1917,person__22858,"Prechtler, Heinrich",1857,1917
fk__p_51649,Powolny ,1000,1000,person__22844,Powolny,1000,1000
fk__p_51642,"Potiorek, Oskar",1853,1933,person__9350,"Potiorek, Oskar",1853,1933
fk__p_51574,"Poincaré, Raymond",1860,1934,person__12431,"Poincaré, Raymond",1860,1934
fk__p_51528,"Planquette, Robert",1848,1903,person__22630,"Planquette, Robert",1848,1903
fk__p_51516,"Pittschau, Ernst",1859,1916,person__4712,"Pittschau, Ernst",1859,1916
fk__p_51499,"Pirandello, Luigi",1867,1936,person__12421,"Pirandello, Luigi",1867,1936
fk__p_51496,"Piper, Carl Anton",1874,1938,person__22600,"Piper, Carl Anton",1874,1938
fk__p_51475,"Piffl, Friedrich Gustav",1864,1932,person__12417,"Piffl, Friedrich Gustav",1864,1932
fk__p_51468,"Wolff, Pierre",1865,1944,person__64971,"Wolff, Pierre",1865,1944
fk__p_51466,"Loving, Edward Pierre",1893,1950,person__20624,"Loving, Edward Pierre",1893,1950
fk__p_51465,"Lalo, Pierre",1866,1943,person__8429,"Lalo, Pierre",1866,1943
fk__p_51446,"Pfrimer, Walter",1881,1968,person__22495,"Pfrimer, Walter",1881,1968
fk__p_51429,"Petzold, Alfons",1882,1923,person__9239,"Petzold, Alfons",1882,1923
fk__p_51423,"Petrovich, Ivan",1894,1962,person__22467,"Petrovich, Ivan",1894,1962
fk__p_51411,"Petrarca, Francesco",1304,1374,person__2975,"Petrarca, Francesco",1304,1374
fk__p_51398,"Nansen, Peter",1861,1918,person__2357,"Nansen, Peter",1861,1918
fk__p_51389,"Ihle, Peter",1900,1966,person__43661,"Ihle, Peter",1900,1966
fk__p_51382,"Behrens, Peter",1868,1940,person__10869,"Behrens, Peter",1868,1940
fk__p_51379,"Altenberg, Peter",1859,1919,person__2147,"Altenberg, Peter",1859,1919
fk__p_51341,"Glöckner, Josefine",1874,1954,person__17109,"Glöckner, Josefine",1874,1954
fk__p_51312,"Peary, Robert Edwin",1856,1920,person__9209,"Peary, Robert Edwin",1856,1920
fk__p_51273,"Zifferer, Paul",1879,1929,person__5156,"Zifferer, Paul",1879,1929
fk__p_51272,"Zech, Paul",1881,1946,person__37820,"Zech, Paul",1881,1946
fk__p_51269,"Wilhelm, Paul",1873,1916,person__27150,"Wilhelm, Paul",1873,1916
fk__p_51268,"Wiegler, Paul",1878,1949,person__13112,"Wiegler, Paul",1878,1949
fk__p_51267,"Wertheimer, Paul",1874,1937,person__2888,"Wertheimer, Paul",1874,1937
fk__p_51266,"Wengraf, Paul",1878,1962,person__26942,"Wengraf, Paul",1878,1962
fk__p_51265,"Wegener, Paul",1874,1948,person__10457,"Wegener, Paul",1874,1948
