Cluster ID,id,name,birth_year,death_year
653,fk__p_38029,"Alfieri, Vittorio Graf",1749,1803
654,fk__p_38030,"Canciani, Alfonso",1863,1955
655,fk__p_38031,"Herold, Alfons",1847,1925
656,fk__p_38033,"M., Alphons",1000,1000
657,fk__p_38034,"Paquet, Alfons",1881,1944
658,fk__p_38037,"Alfons XII., König von Spanien",1857,1885
659,fk__p_38039,"Bertillon, Alphonse",1853,1914
660,fk__p_38040,"Daudet, Alphonse",1840,1897
661,fk__p_38043,"Liguori, Alphonso Maria",1696,1787
662,fk__p_38044,Alfred,1000,1000
663,fk__p_38045,"S., Alfred",1000,1000
664,fk__p_38048,"Beierle, Alfred",1885,1950
665,fk__p_38050,"Braun, Alfred",1888,1978
666,fk__p_38051,"Capus, Alfred",1858,1922
667,fk__p_38052,"Musset, Alfred de",1810,1857
668,fk__p_38053,"Rothschild, Alfred Charles Freiherr von",1842,1918
669,fk__p_38054,"Deutsch-German, Alfred Ludwig",1870,1943
670,fk__p_38055,"Döblin, Alfred",1878,1957
671,fk__p_38056,"Dreyfus, Alfred",1859,1935
672,fk__p_38057,"Duru, Henri-Alfred",1829,1889
18,fk__p_38058,"Berger, Alfred Freiherr von",1853,1912
19,fk__p_38060,"Winterstein, Alfred Freiherr von",1885,1958
673,fk__p_38062,"Vigny, Alfred de",1797,1863
674,fk__p_38063,"Grünewald, Alfred",1884,1942
675,fk__p_38064,"Grünfeld, Alfred",1852,1924
676,fk__p_38065,"Grünhut, Alfred",1871,1938
677,fk__p_38066,"Grünwald, Alfred",1884,1951
678,fk__p_38067,"Fried, Alfred Hermann",1864,1921
679,fk__p_38068,"Holzbock, Alfred",1857,1927
680,fk__p_38069,"Huggenberger, Alfred",1867,1960
681,fk__p_38070,"Jerger, Alfred",1889,1976
682,fk__p_38072,"Kerr, Alfred",1867,1948
683,fk__p_38074,"Kind, Alfred",1876,1927
684,fk__p_38075,"Kirchhoff, Alfred",1000,1000
685,fk__p_38076,"Klaar, Alfred",1848,1927
686,fk__p_38077,"Kunz, Alfred",1894,1961
687,fk__p_38079,"Meißner, Alfred",1822,1885
688,fk__p_38080,"Mombert, Alfred",1872,1942
689,fk__p_38081,"Neumann, Alfred Maximilian",1874,1939
20,fk__p_38082,"Piccaver, Alfred",1884,1958
690,fk__p_38083,"Pillsbury, Charles Alfred",1842,1899
691,fk__p_38084,"Poizat, Alfred",1863,1936
692,fk__p_38085,"Polgar, Alfred",1873,1955
693,fk__p_38086,"Pollak, Alfred",1000,1000
694,fk__p_38088,"Meyer, Alfred Richard",1882,1956
695,fk__p_38089,"P., Alfred Ritter von",1000,1000
24,fk__p_38090,"Hölder, Alfred Ritter von",1835,1915
